País,Clics,Impresiones,CTR,Posición
España,29,1019,2.85%,10
Alemania,2,10,20%,7.1
Estados Unidos,0,49,0%,7.47
Reino Unido,0,23,0%,6.61
Francia,0,11,0%,2.18
Brasil,0,3,0%,6.33
Filipinas,0,3,0%,7.67
Italia,0,2,0%,2
Argentina,0,2,0%,5.5
Turquía,0,2,0%,6
Bélgica,0,2,0%,8.5
Irlanda,0,2,0%,8.5
Noruega,0,2,0%,14.5
México,0,2,0%,22.5
Australia,0,1,0%,1
Canadá,0,1,0%,1
Portugal,0,1,0%,1
Trinidad y Tobago,0,1,0%,1
Uruguay,0,1,0%,1
Vietnam,0,1,0%,1
Nueva Zelanda,0,1,0%,2
Hungría,0,1,0%,3
Polonia,0,1,0%,3
Venezuela,0,1,0%,4
Honduras,0,1,0%,5
Países Bajos,0,1,0%,5
Ucrania,0,1,0%,5
Dinamarca,0,1,0%,7
Irán,0,1,0%,7
Chequia,0,1,0%,8
Singapur,0,1,0%,8
Uzbekistán,0,1,0%,9
