# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: Lowkey Tattoo
# Propiedad: tattoolowkey.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260415
# Fecha de finalización: 20260512
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/,24,775,0.03096774193548387,4.223225806451612,10,19,0.7037037037037037,114.4,259,0,0
/blog/cuanto-cuesta-un-tatuaje-en-tenerife,5,78,0.0641025641025641,5.435897435897436,2,1,0.5,11.5,7,0,0
/en/blog/cuanto-cuesta-un-tatuaje-en-tenerife,1,18,0.05555555555555555,6.777777777777778,0,0,0,0,0,0,0
/en/laser-tattoo-removal-tenerife,1,59,0.01694915254237288,7.610169491525424,1,0,0,0,3,0,0
/en/tattoos-tenerife,1,77,0.012987012987012988,5.415584415584416,0,0,0,0,0,0,0
/artistas/fifo,0,22,0,10.181818181818182,0,0,0,0,0,0,0
/artistas/pablo-matos,0,15,0,10.466666666666667,0,0,0,0,0,0,0
/artistas/sergio,0,23,0,10.130434782608695,0,0,0,0,0,0,0
/blog/cuidados-despues-de-un-tatuaje,0,15,0,12,0,0,0,0,0,0,0
/blog/tamurathepiercer-piercing-profesional-tenerife-mayo-2026,0,17,0,7.823529411764706,1,0,0,0,6,0,0
/en,0,29,0,3.0689655172413794,0,0,0,0,0,0,0
/en/artists/fifo,0,4,0,4.25,0,0,0,0,0,0,0
/en/artists/sergio,0,2,0,7.5,0,0,0,0,0,0,0
/en/piercing-tenerife,0,12,0,4.75,0,0,0,0,0,0,0
/laser-eliminacion-tatuajes-tenerife,0,89,0,18.078651685393258,0,0,0,0,0,0,0
/piercing-tenerife,0,152,0,19.914473684210527,0,0,0,0,0,0,0
/tatuajes-santa-cruz-tenerife,0,187,0,17.40106951871658,0,0,0,0,0,0,0
(not set),0,0,0,0,3,0,0,1,9,0,0
/?ved=2ahUKEwjU4sjHwaCUAxVoRKQEHUKYMYg4ChCBT3oECAwQEA,0,0,0,0,1,1,1,74,17,0,0
/admin/artists,0,0,0,0,1,0,0,0,2,0,0
/admin/dashboard,0,0,0,0,1,1,1,27,12,0,0
/admin/login,0,0,0,0,2,2,1,13.5,16,0,0
/admin/messages,0,0,0,0,1,1,1,90,22,0,0
/admin/sessions,0,0,0,0,1,1,1,15,9,0,0
